IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.245.3.226,4,4,0.00,62.65,0.00
47.245.8.47,4,4,0.00,64.15,0.00
47.74.54.34,4,4,0.00,64.99,0.00
47.245.2.20,4,4,0.00,65.03,0.00
47.74.14.156,4,4,0.00,65.54,0.00
47.245.15.101,4,4,0.00,67.70,0.00
47.74.48.55,4,4,0.00,69.21,0.00
47.245.53.177,4,4,0.00,69.97,0.00
47.91.28.22,4,4,0.00,70.08,0.00
47.245.11.230,4,4,0.00,75.25,0.00
