IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.160.204.251,4,4,0.00,220.91,0.00
103.160.204.252,4,4,0.00,230.06,0.00
103.160.204.12,4,4,0.00,278.96,0.00
103.160.204.117,4,4,0.00,279.00,0.00
103.160.204.195,4,4,0.00,279.03,0.00
103.160.204.61,4,3,0.25,237.07,0.00
103.160.204.66,4,3,0.25,255.06,0.00
103.160.204.140,4,3,0.25,256.44,0.00
103.160.204.192,4,2,0.50,251.83,0.00
