IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
146.56.46.211,4,4,0.00,39.80,0.00
152.70.92.11,4,4,0.00,40.65,0.00
152.70.236.219,4,4,0.00,42.35,0.00
140.238.28.164,4,4,0.00,42.78,0.00
130.162.151.183,4,4,0.00,46.05,0.00
130.162.141.8,4,4,0.00,48.14,0.00
132.226.225.245,4,4,0.00,49.46,0.00
130.162.131.8,4,4,0.00,50.49,0.00
168.138.223.147,4,4,0.00,63.67,0.00
152.70.98.190,4,4,0.00,64.79,0.00
