IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
123.1.199.135,4,4,0.00,46.17,0.00
103.118.40.22,4,4,0.00,212.20,0.00
103.160.204.64,4,4,0.00,221.55,0.00
103.160.204.124,4,4,0.00,228.30,0.00
103.160.204.214,4,4,0.00,238.59,0.00
103.160.204.192,4,4,0.00,245.32,0.00
103.160.204.140,4,4,0.00,277.54,0.00
103.160.204.193,4,4,0.00,278.00,0.00
