IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
220.78.119.13,4,4,0.00,70.03,0.00
221.157.0.159,4,4,0.00,70.09,0.00
27.126.8.222,4,4,0.00,70.25,0.00
121.168.144.41,4,4,0.00,70.42,0.00
125.189.152.110,4,4,0.00,86.46,0.00
49.246.103.150,4,4,0.00,86.48,0.00
1.177.174.248,4,4,0.00,86.56,0.00
119.206.18.95,4,4,0.00,86.59,0.00
221.166.246.145,4,4,0.00,98.48,0.00
168.131.38.61,4,4,0.00,108.57,0.00
