IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.160.204.12,4,4,0.00,220.30,0.00
103.160.204.5,4,4,0.00,220.36,0.00
103.160.204.252,4,4,0.00,231.22,0.00
103.160.204.102,4,3,0.25,238.42,0.00
103.160.204.100,4,3,0.25,238.69,0.00
103.160.204.228,4,3,0.25,258.83,0.00
