IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
43.163.248.2,4,4,0.00,80.61,0.00
8.219.123.130,4,4,0.00,92.05,0.00
8.219.97.248,4,4,0.00,92.06,0.00
112.140.187.100,4,4,0.00,92.35,0.00
45.64.130.141,4,4,0.00,94.27,0.00
45.64.130.21,4,4,0.00,94.38,0.00
112.140.187.110,4,4,0.00,94.39,0.00
45.64.130.137,4,4,0.00,94.60,0.00
112.140.185.113,4,4,0.00,96.02,0.00
112.140.185.121,4,4,0.00,96.05,0.00
