IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.160.204.133,4,4,0.00,272.09,0.00
103.160.204.72,4,4,0.00,277.40,0.00
103.160.204.151,4,4,0.00,281.44,0.00
103.160.204.250,4,4,0.00,281.82,0.00
103.160.204.85,4,4,0.00,285.37,0.00
103.160.204.211,4,4,0.00,286.65,0.00
103.160.204.33,4,4,0.00,289.57,0.00
103.160.204.152,4,4,0.00,290.85,0.00
103.160.204.18,4,4,0.00,291.23,0.00
103.160.204.23,4,4,0.00,291.41,0.00
