IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
146.56.150.154,4,4,0.00,41.32,0.00
61.195.190.99,4,4,0.00,76.45,0.00
119.243.97.60,4,4,0.00,157.32,0.00
133.130.71.220,4,4,0.00,176.26,0.00
133.130.73.114,4,4,0.00,198.83,0.00
