IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.243.179.249,4,4,0.00,53.83,0.00
8.210.55.134,4,4,0.00,63.10,0.00
47.245.11.230,4,4,0.00,75.23,0.00
47.74.57.1,4,4,0.00,76.84,0.00
47.245.15.101,4,4,0.00,80.09,0.00
47.245.53.177,4,4,0.00,81.01,0.00
47.245.2.84,4,4,0.00,81.11,0.00
47.74.54.34,4,4,0.00,81.29,0.00
47.245.10.142,4,4,0.00,81.61,0.00
8.222.137.192,4,4,0.00,81.74,0.00
